,ant1,ant2,bchan,echan,freqid,bif,eif,stokesRR,stokesLL,stokesRL,stokesLR,source,subarray,timerange1,timerange2,reason
22,AP,ALL,48,48,-1,17,17,True,False,True,True,ALL,0,+000:00:46:01,+000:16:14:00,BAD AC CHANNEL          
23,AP,ALL,45,45,-1,17,17,False,True,True,True,ALL,0,+000:00:46:01,+000:16:14:00,BAD AC CHANNEL          
24,AP,ALL,46,46,-1,17,17,False,True,True,True,ALL,0,+000:00:46:01,+000:16:14:00,BAD AC CHANNEL          
25,AP,ALL,47,47,-1,17,17,False,True,True,True,ALL,0,+000:00:46:01,+000:16:14:00,BAD AC CHANNEL          
26,AP,ALL,48,48,-1,17,17,False,True,True,True,ALL,0,+000:00:46:01,+000:16:14:00,BAD AC CHANNEL          
27,AP,ALL,44,44,-1,17,17,False,True,True,True,ALL,0,+000:00:46:01,+000:16:14:00,BAD AC CHANNEL          
28,AP,ALL,49,49,-1,17,17,False,True,True,True,ALL,0,+000:00:46:01,+000:16:14:00,BAD AC CHANNEL          
29,AP,ALL,107,107,-1,27,27,False,True,True,True,ALL,0,+000:00:46:01,+000:16:14:00,BAD AC CHANNEL          
30,AP,ALL,108,108,-1,27,27,False,True,True,True,ALL,0,+000:00:46:01,+000:16:14:00,BAD AC CHANNEL          
31,AP,ALL,109,109,-1,27,27,False,True,True,True,ALL,0,+000:00:46:01,+000:16:14:00,BAD AC CHANNEL          
32,AP,ALL,110,110,-1,27,27,False,True,True,True,ALL,0,+000:00:46:01,+000:16:14:00,BAD AC CHANNEL          
33,PV,ALL,50,50,-1,17,17,False,True,True,True,ALL,0,+000:00:46:01,+000:16:14:00,BAD AC CHANNEL          
34,PV,ALL,110,110,-1,17,17,False,True,True,True,ALL,0,+000:00:46:01,+000:16:14:00,BAD AC CHANNEL          
35,SR,ALL,98,98,-1,14,14,False,True,True,True,ALL,0,+000:00:46:01,+000:16:14:00,BAD AC CHANNEL          
36,SR,ALL,99,99,-1,14,14,False,True,True,True,ALL,0,+000:00:46:01,+000:16:14:00,BAD AC CHANNEL          
37,SR,ALL,100,100,-1,14,14,False,True,True,True,ALL,0,+000:00:46:01,+000:16:14:00,BAD AC CHANNEL          
38,SR,ALL,101,101,-1,14,14,False,True,True,True,ALL,0,+000:00:46:01,+000:16:14:00,BAD AC CHANNEL          
39,SR,ALL,97,97,-1,14,14,False,True,True,True,ALL,0,+000:00:46:01,+000:16:14:00,BAD AC CHANNEL          
40,SR,ALL,102,102,-1,14,14,False,True,True,True,ALL,0,+000:00:46:01,+000:16:14:00,BAD AC CHANNEL          
41,SR,ALL,103,103,-1,14,14,False,True,True,True,ALL,0,+000:00:46:01,+000:16:14:00,BAD AC CHANNEL          
42,SR,ALL,104,104,-1,14,14,False,True,True,True,ALL,0,+000:00:46:01,+000:16:14:00,BAD AC CHANNEL          
43,SR,ALL,105,105,-1,14,14,False,True,True,True,ALL,0,+000:00:46:01,+000:16:14:00,BAD AC CHANNEL          
44,SR,ALL,106,106,-1,14,14,False,True,True,True,ALL,0,+000:00:46:01,+000:16:14:00,BAD AC CHANNEL          
45,SR,ALL,107,107,-1,14,14,False,True,True,True,ALL,0,+000:00:46:01,+000:16:14:00,BAD AC CHANNEL          
46,SR,ALL,108,108,-1,14,14,False,True,True,True,ALL,0,+000:00:46:01,+000:16:14:00,BAD AC CHANNEL          
47,SR,ALL,109,109,-1,14,14,False,True,True,True,ALL,0,+000:00:46:01,+000:16:14:00,BAD AC CHANNEL          
48,SR,ALL,110,110,-1,14,14,False,True,True,True,ALL,0,+000:00:46:01,+000:16:14:00,BAD AC CHANNEL          
49,SM,ALL,106,106,-1,16,16,False,True,True,True,ALL,0,+000:00:46:01,+000:16:14:00,BAD AC CHANNEL          
50,SM,ALL,105,105,-1,16,16,False,True,True,True,ALL,0,+000:00:46:01,+000:16:14:00,BAD AC CHANNEL          
51,SM,ALL,111,111,-1,16,16,False,True,True,True,ALL,0,+000:00:46:01,+000:16:14:00,BAD AC CHANNEL          
52,PV,ALL,111,111,-1,17,17,False,True,True,True,ALL,0,+000:00:46:01,+000:16:14:00,BAD AC CHANNEL          
53,SM,ALL,104,104,-1,16,16,True,False,True,True,ALL,0,+000:00:46:01,+000:16:14:00,BAD AC CHANNEL          
54,SM,ALL,105,105,-1,16,16,True,False,True,True,ALL,0,+000:00:46:01,+000:16:14:00,BAD AC CHANNEL          
55,SM,ALL,106,106,-1,16,16,True,False,True,True,ALL,0,+000:00:46:01,+000:16:14:00,BAD AC CHANNEL          
56,SM,ALL,107,107,-1,16,16,True,False,True,True,ALL,0,+000:00:46:01,+000:16:14:00,BAD AC CHANNEL          
57,SM,ALL,90,90,-1,21,21,True,False,True,True,ALL,0,+000:00:46:01,+000:16:14:00,BAD AC CHANNEL          
58,SM,ALL,91,91,-1,21,21,True,False,True,True,ALL,0,+000:00:46:01,+000:16:14:00,BAD AC CHANNEL          
59,SM,ALL,92,92,-1,21,21,True,False,True,True,ALL,0,+000:00:46:01,+000:16:14:00,BAD AC CHANNEL          
60,SM,ALL,63,63,-1,31,31,True,False,True,True,ALL,0,+000:00:46:01,+000:16:14:00,BAD AC CHANNEL          
61,SM,ALL,64,64,-1,31,31,True,False,True,True,ALL,0,+000:00:46:01,+000:16:14:00,BAD AC CHANNEL          
62,SM,ALL,107,107,-1,16,16,False,True,True,True,ALL,0,+000:00:46:01,+000:16:14:00,BAD AC CHANNEL          
63,SM,ALL,108,108,-1,16,16,False,True,True,True,ALL,0,+000:00:46:01,+000:16:14:00,BAD AC CHANNEL          
64,SM,ALL,109,109,-1,16,16,False,True,True,True,ALL,0,+000:00:46:01,+000:16:14:00,BAD AC CHANNEL          
65,SM,ALL,110,110,-1,16,16,False,True,True,True,ALL,0,+000:00:46:01,+000:16:14:00,BAD AC CHANNEL          
66,SR,ALL,111,111,-1,14,14,False,True,True,True,ALL,0,+000:00:46:01,+000:16:14:00,BAD AC CHANNEL          
67,AA,ALL,0,0,-1,1,32,False,True,True,True,ALL,0,+000:02:36:01,+000:02:36:02,BAD ACSCL SOLUTION      
68,AA,ALL,0,0,-1,1,32,True,False,True,True,ALL,0,+000:02:36:01,+000:02:36:02,BAD ACSCL SOLUTION      
69,AA,ALL,0,0,-1,1,32,False,True,True,True,ALL,0,+000:02:36:02,+000:02:36:02,BAD ACSCL SOLUTION      
70,AA,ALL,0,0,-1,1,32,True,False,True,True,ALL,0,+000:02:36:02,+000:02:36:02,BAD ACSCL SOLUTION      
71,AA,ALL,0,0,-1,1,32,True,False,True,True,ALL,0,+000:02:36:02,+000:02:36:03,BAD ACSCL SOLUTION      
72,AA,ALL,0,0,-1,1,32,False,True,True,True,ALL,0,+000:02:36:02,+000:02:36:03,BAD ACSCL SOLUTION      
73,AA,ALL,0,0,-1,1,32,True,False,True,True,ALL,0,+000:02:36:03,+000:02:36:05,BAD ACSCL SOLUTION      
74,AA,ALL,0,0,-1,1,32,False,True,True,True,ALL,0,+000:02:36:03,+000:02:36:05,BAD ACSCL SOLUTION      
75,AA,ALL,0,0,-1,1,32,True,False,True,True,ALL,0,+000:02:36:05,+000:02:36:05,BAD ACSCL SOLUTION      
76,AA,ALL,0,0,-1,1,32,False,True,True,True,ALL,0,+000:02:36:05,+000:02:36:05,BAD ACSCL SOLUTION      
77,AA,ALL,0,0,-1,1,32,True,False,True,True,ALL,0,+000:02:36:06,+000:02:36:06,BAD ACSCL SOLUTION      
78,AA,ALL,0,0,-1,1,32,False,True,True,True,ALL,0,+000:02:36:06,+000:02:36:06,BAD ACSCL SOLUTION      
79,AA,ALL,0,0,-1,1,32,False,True,True,True,ALL,0,+000:02:36:06,+000:02:36:08,BAD ACSCL SOLUTION      
80,AA,ALL,0,0,-1,1,32,True,False,True,True,ALL,0,+000:02:36:06,+000:02:36:08,BAD ACSCL SOLUTION      
81,AA,ALL,0,0,-1,1,32,True,False,True,True,ALL,0,+000:02:36:08,+000:02:36:09,BAD ACSCL SOLUTION      
82,AA,ALL,0,0,-1,1,32,False,True,True,True,ALL,0,+000:02:36:08,+000:02:36:09,BAD ACSCL SOLUTION      
83,AA,ALL,0,0,-1,1,32,True,False,True,True,ALL,0,+000:02:36:09,+000:02:36:09,BAD ACSCL SOLUTION      
84,AA,ALL,0,0,-1,1,32,False,True,True,True,ALL,0,+000:02:36:09,+000:02:36:09,BAD ACSCL SOLUTION      
85,AA,ALL,0,0,-1,1,32,False,True,True,True,ALL,0,+000:02:36:09,+000:02:36:09,BAD ACSCL SOLUTION      
86,AA,ALL,0,0,-1,1,32,True,False,True,True,ALL,0,+000:02:36:10,+000:02:36:10,BAD ACSCL SOLUTION      
87,AA,ALL,0,0,-1,1,32,False,True,True,True,ALL,0,+000:02:36:10,+000:02:36:10,BAD ACSCL SOLUTION      
88,AA,ALL,0,0,-1,1,32,False,True,True,True,ALL,0,+000:02:36:10,+000:02:36:10,BAD ACSCL SOLUTION      
89,AA,ALL,0,0,-1,1,32,False,True,True,True,ALL,0,+000:02:36:10,+000:02:36:12,BAD ACSCL SOLUTION      
90,AA,ALL,0,0,-1,1,32,False,True,True,True,ALL,0,+000:02:36:10,+000:02:36:12,BAD ACSCL SOLUTION      
